disease,increase,loc,number,population,year
HEPATITIS A,16.18,CALIFORNIA,5130,31696582,1995
HEPATITIS A,17.3,CALIFORNIA,5547,32018834,1996
HEPATITIS A,13.65,CALIFORNIA,4438,32486010,1997
HEPATITIS A,8.47,CALIFORNIA,2803,32987675,1998
HEPATITIS A,7,CALIFORNIA,2349,33499204,1999
HEPATITIS A,6.68,CALIFORNIA,2261,33994571,2000
HEPATITIS A,4.66,CALIFORNIA,1599,34485623,2001
HEPATITIS A,3.95,CALIFORNIA,1364,34876194,2002
HEPATITIS A,2.98,CALIFORNIA,1045,35251107,2003
HEPATITIS A,2.18,CALIFORNIA,788,35558419,2004
HEPATITIS A,2.51,CALIFORNIA,905,35795255,2005
HEPATITIS A,1.89,CALIFORNIA,688,35979208,2006
HEPATITIS A,0.84,CALIFORNIA,312,36226122,2007
HEPATITIS A,0.93,CALIFORNIA,337,36580371,2008
HEPATITIS A,0.66,CALIFORNIA,239,36961664,2009
HEPATITIS A,0.55,CALIFORNIA,201,37266600,2010
HEPATITIS A,0.48,CALIFORNIA,176,37691912,2011
