disease,increase,loc,number,population,year
HEPATITIS A,3.93,FLORIDA,631,16047118,2000
HEPATITIS A,2.57,NEW YORK,487,18998044,2000
HEPATITIS A,1.13,PENNSYLVANIA,138,12285504,2000
HEPATITIS A,4.86,TEXAS,1016,20945963,2000
PERTUSSIS,1.11,NEW YORK,212,18998044,2000
PERTUSSIS,1.4,PENNSYLVANIA,170,12285504,2000
PERTUSSIS,0.7,TEXAS,152,20945963,2000
HEPATITIS A,4.66,FLORIDA,762,16353869,2001
HEPATITIS A,2.16,NEW YORK,411,19088978,2001
HEPATITIS A,1.51,PENNSYLVANIA,185,12299533,2001
HEPATITIS A,4.56,TEXAS,971,21332847,2001
PERTUSSIS,0.69,NEW YORK,118,19088978,2001
PERTUSSIS,1.03,TEXAS,222,21332847,2001
HEPATITIS A,6.02,FLORIDA,1002,16680309,2002
HEPATITIS A,3.72,NEW YORK,715,19161873,2002
HEPATITIS A,1.61,PENNSYLVANIA,197,12326302,2002
HEPATITIS A,1.95,TEXAS,424,21710788,2002
PERTUSSIS,1.95,NEW YORK,375,19161873,2002
PERTUSSIS,0.9,PENNSYLVANIA,109,12326302,2002
PERTUSSIS,4.49,TEXAS,974,21710788,2002
HEPATITIS A,2.22,FLORIDA,374,16981183,2003
HEPATITIS A,2.76,NEW YORK,532,19231101,2003
HEPATITIS A,8.02,PENNSYLVANIA,990,12357524,2003
HEPATITIS A,1.8,TEXAS,397,22057801,2003
PERTUSSIS,0.65,FLORIDA,103,16981183,2003
PERTUSSIS,2.8,PENNSYLVANIA,343,12357524,2003
PERTUSSIS,3.43,TEXAS,754,22057801,2003
HEPATITIS A,1.63,FLORIDA,282,17375259,2004
HEPATITIS A,2.02,NEW YORK,380,19297933,2004
HEPATITIS A,1.15,PENNSYLVANIA,143,12388368,2004
HEPATITIS A,2.48,TEXAS,558,22418319,2004
PERTUSSIS,0.75,FLORIDA,130,17375259,2004
PERTUSSIS,6.85,NEW YORK,1319,19297933,2004
PERTUSSIS,4.43,PENNSYLVANIA,552,12388368,2004
PERTUSSIS,3.7,TEXAS,831,22418319,2004
HEPATITIS A,1.57,FLORIDA,288,17783868,2005
HEPATITIS A,2.08,NEW YORK,388,19330891,2005
HEPATITIS A,1.37,PENNSYLVANIA,163,12418161,2005
HEPATITIS A,0.69,TEXAS,161,22801920,2005
PERTUSSIS,1.17,FLORIDA,209,17783868,2005
PERTUSSIS,2.88,NEW YORK,558,19330891,2005
PERTUSSIS,7.41,PENNSYLVANIA,926,12418161,2005
PERTUSSIS,6.45,TEXAS,1478,22801920,2005
HEPATITIS A,1.21,FLORIDA,217,18088505,2006
HEPATITIS A,1.53,NEW YORK,280,19356564,2006
HEPATITIS A,0.62,TEXAS,147,23369024,2006
PERTUSSIS,1.29,FLORIDA,233,18088505,2006
PERTUSSIS,10.32,NEW YORK,2007,19356564,2006
PERTUSSIS,2.84,PENNSYLVANIA,357,12471142,2006
PERTUSSIS,1.61,TEXAS,387,23369024,2006
HEPATITIS A,0.93,FLORIDA,159,18277888,2007
HEPATITIS A,1.44,NEW YORK,262,19422777,2007
PERTUSSIS,1.21,FLORIDA,214,18277888,2007
PERTUSSIS,5.69,NEW YORK,1109,19422777,2007
PERTUSSIS,1.56,PENNSYLVANIA,195,12522531,2007
PERTUSSIS,1.39,TEXAS,337,23837701,2007
HEPATITIS A,0.88,FLORIDA,153,18423878,2008
HEPATITIS A,0.92,NEW YORK,148,19467789,2008
HEPATITIS A,0.92,PENNSYLVANIA,107,12566368,2008
PERTUSSIS,1.74,FLORIDA,310,18423878,2008
PERTUSSIS,2.19,NEW YORK,416,19467789,2008
PERTUSSIS,3.2,PENNSYLVANIA,399,12566368,2008
PERTUSSIS,1.37,TEXAS,337,24304290,2008
HEPATITIS A,1.01,FLORIDA,176,18537969,2009
HEPATITIS A,0.63,NEW YORK,101,19541453,2009
PERTUSSIS,2.77,FLORIDA,515,18537969,2009
PERTUSSIS,1.52,NEW YORK,283,19541453,2009
PERTUSSIS,2.52,PENNSYLVANIA,312,12604767,2009
PERTUSSIS,3.51,TEXAS,867,24782302,2009
HEPATITIS A,0.88,FLORIDA,152,18678049,2010
HEPATITIS A,14.49,NEW YORK,2815,19577730,2010
PERTUSSIS,1.87,FLORIDA,346,18678049,2010
PERTUSSIS,4.15,NEW YORK,808,19577730,2010
PERTUSSIS,4.35,PENNSYLVANIA,553,12632780,2010
PERTUSSIS,4.97,TEXAS,1255,25213445,2010
HEPATITIS A,0.66,NEW YORK,112,19465197,2011
PERTUSSIS,1.74,FLORIDA,323,19057542,2011
PERTUSSIS,4.68,NEW YORK,910,19465197,2011
PERTUSSIS,3.6,PENNSYLVANIA,460,12742886,2011
PERTUSSIS,2.07,TEXAS,522,25674681,2011
