id1,id2,lines
11,1,37
15,1,50
16,1,20
41,1,78
43,1,78
48,1,77
18,2,51
20,2,28
27,2,24
28,2,29
29,2,33
37,2,42
42,2,83
55,2,56
11,3,77
43,3,16
45,3,23
62,3,63
9,4,68
15,4,45
60,4,63
52,5,47
10,6,27
14,6,83
57,6,70
58,6,53
10,7,77
14,7,87
18,7,20
55,7,44
57,7,41
58,7,45
20,8,97
28,8,53
31,8,32
41,8,74
55,8,37
21,9,38
29,9,82
38,9,1
46,9,94
60,9,64
14,10,39
18,10,37
33,10,19
42,10,42
58,10,88
30,11,44
43,11,55
48,11,13
52,12,14
34,13,55
18,14,3
33,14,56
42,14,1
55,14,73
58,14,12
17,15,58
25,15,55
34,15,25
35,15,48
38,15,4
39,15,21
41,15,66
44,15,32
51,15,83
53,15,66
19,16,48
25,16,12
41,16,44
46,16,56
56,16,91
60,16,30
21,17,94
34,17,32
38,17,51
39,17,56
51,17,47
23,18,65
26,18,82
28,18,34
32,18,18
58,18,38
21,19,52
22,19,42
25,19,78
30,19,14
46,19,8
52,19,91
31,20,58
55,20,76
29,21,23
37,21,22
39,21,44
45,21,99
48,21,7
51,21,15
30,22,69
34,22,97
38,22,34
46,22,28
52,22,71
37,24,2
46,24,58
52,24,100
30,25,51
46,25,97
52,25,71
27,26,98
28,26,45
28,27,78
31,29,21
48,29,61
36,30,85
44,30,38
46,30,48
52,30,21
53,30,21
43,31,99
48,31,76
61,33,73
35,34,37
38,34,51
39,34,85
41,34,76
44,34,78
51,34,100
38,35,16
45,35,16
50,35,23
38,37,66
40,37,98
41,37,93
60,37,80
41,38,96
44,38,95
46,38,57
62,38,12
44,39,64
45,39,26
53,39,61
59,39,78
58,40,73
53,41,34
55,42,15
58,42,89
48,43,68
51,43,8
47,44,71
54,44,55
51,46,73
52,46,33
60,46,89
50,47,35
58,49,81
52,51,59
56,52,65
62,54,93
58,55,17
